"Country","Year","drug_prev","Happiness_Score"
"Austria",2015,0.4,7.119
"Austria",2022,2.2,7.097
"Belgium",2018,2.9,6.923
"Bulgaria",2012,0.3,3.981
"Bulgaria",2016,0.5,4.714
"Bulgaria",2020,1.3,5.266
"Croatia",2012,0.9,5.661
"Croatia",2015,1.6,5.488
"Croatia",2019,3.9,5.50470018386841
"Cyprus",2012,0.6,6.466
"Cyprus",2016,0.4,5.621
"Cyprus",2019,0.9,6.15899991989136
"Cyprus",2022,1.1,6.13
"Czechia",2012,0.5,6.29
"Czechia",2016,0.7,6.609
"Czechia",2020,1.8,6.965
"Czechia",2023,0.9,6.822
"Denmark",2017,3.9,7.555
"Denmark",2021,2.9,7.636
"Denmark",2023,4.2,7.583
"Estonia",2018,2.8,5.893
"Estonia",2023,4.6,6.448
"Finland",2014,1,7.406
"Finland",2018,1.5,7.769
"Finland",2022,3.1,7.804
"France",2014,2.4,6.575
"France",2017,3.2,6.489
"France",2023,4.4,6.609
"Germany",2012,1.6,6.672
"Germany",2015,1.2,6.994
"Germany",2018,2.4,6.985
"Germany",2021,3.1,7.034
"Greece",2015,0.6,5.033
"Hungary",2015,0.9,5.145
"Hungary",2019,0.6,6.00040006637573
"Ireland",2011,2.8,7.284
"Ireland",2015,2.9,6.907
"Ireland",2019,4.8,7.09369993209839
"Italy",2011,2.2,6.578
"Italy",2014,1.8,5.948
"Italy",2017,1.7,6
"Italy",2022,2.1,6.405
"Latvia",2011,0.3,4.762
"Latvia",2015,1.2,5.56
"Latvia",2020,2.2,6.032
"Lithuania",2012,0.3,5.426
"Lithuania",2016,0.3,5.902
"Lithuania",2021,0.8,6.446
"Luxembourg",2014,0.7,6.946
"Luxembourg",2019,0.9,7.23750019073486
"Netherlands",2014,3,7.378
"Netherlands",2015,3.6,7.339
"Netherlands",2016,3.7,7.377
"Netherlands",2017,4.5,7.441
"Netherlands",2018,3.9,7.488
"Netherlands",2019,4.6,7.44890022277832
"Netherlands",2020,3.5,7.464
"Netherlands",2021,4.7,7.415
"Netherlands",2022,5.5,7.403
"Netherlands",2023,5,7.319
"Poland",2014,0.4,5.791
"Poland",2018,0.5,6.182
"Poland",2024,0.5,6.673
"Portugal",2012,0.4,5.101
"Portugal",2016,0.3,5.195
"Portugal",2022,0.5,5.968
"Romania",2016,0.2,5.825
"Romania",2019,0.7,6.12370014190674
"Slovakia",2015,0.3,6.078
"Slovakia",2019,0.2,6.28060007095337
"Slovakia",2023,1.1,6.257
"Slovenia",2012,1.2,6.06
"Slovenia",2018,1.8,6.118
"Slovenia",2023,2,6.743
"Spain",2011,3.6,6.761
"Spain",2015,3,6.361
"Spain",2017,2.8,6.31
"Spain",2020,3.2,6.491
"Spain",2022,3.1,6.436
"Spain",2024,3.1,6.466
"Sweden",2017,2.5,7.314
"Sweden",2021,2.8,7.384
